,,,,,
Incorporated Cities and Census Designated Places (CDP) by County in California,,,,,
Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),,Geoid
Morgan Hill city,"45,483",12.9,"3,515",,1600000US0649278
Mountain View city,"82,376",12.0,"6,889",,1600000US0649670
Palo Alto city,"68,572",24.1,"2,846",,1600000US0655282
San Jose city,"1,013,240",178.3,"5,684",,1600000US0668000
San Martin CDP,"7,008",11.6,604,,1600000US0668238
Santa Clara city,"127,647",18.3,"6,984",,1600000US0669084
Saratoga city,"31,051",12.8,"2,430",,1600000US0670280
Stanford CDP,"21,150",2.8,"7,690",,1600000US0673906
Sunnyvale city,"155,805",22.1,"7,063",,1600000US0677000
Santa Cruz County,"270,861",445.1,609,,0500000US06087
Amesti CDP,"2,637",2.9,897,,1600000US0601651
Aptos CDP,"6,664",6.6,"1,013",,1600000US0602378
Aptos Hills-Larkin Valley CDP,"2,383",9.3,257,,1600000US0602382
Ben Lomond CDP,"6,337",8.4,757,,1600000US0605332
Bonny Doon CDP,"2,868",16.6,173,,1600000US0607470
Boulder Creek CDP,"5,429",7.5,723,,1600000US0607652
Brookdale CDP,"2,043",3.8,531,,1600000US0608478
Capitola city,"9,938",1.6,"6,233",,1600000US0611040
Corralitos CDP,"2,342",9.0,261,,1600000US0616434
Davenport CDP,388,2.8,136,,1600000US0618086
Day Valley CDP,"3,410",18.5,184,,1600000US0618153
Felton CDP,"4,489",4.6,967,,1600000US0623826
Freedom CDP,"3,835",1.1,"3,383",,1600000US0625576
Interlaken CDP,"7,368",9.8,752,,1600000US0636613
La Selva Beach CDP,"2,531",5.3,478,,1600000US0640508
Live Oak CDP,"17,038",3.2,"5,254",,1600000US0641922
Lompico CDP,"1,154",3.4,342,,1600000US0642510
Mount Hermon CDP,"1,110",0.7,"1,708",,1600000US0649796
Pajaro Dunes CDP,122,2.6,48,,1600000US0655048
Paradise Park CDP,367,0.3,"1,319",,1600000US0655604
Pasatiempo CDP,"1,093",0.9,"1,228",,1600000US0656028
Pleasure Point CDP,"5,821",0.7,"7,766",,1600000US0657825
Rio del Mar CDP,"9,128",3.0,"3,043",,1600000US0660928
Santa Cruz city,"62,956",12.7,"4,942",,1600000US0669112
Scotts Valley city,"12,224",4.6,"2,647",,1600000US0670588
Seacliff CDP,"3,280",0.7,"4,494",,1600000US0670644
Soquel CDP,"9,980",4.6,"2,171",,1600000US0672688
Twin Lakes CDP,"4,944",0.7,"7,154",,1600000US0681050
Watsonville city,"52,590",6.7,"7,841",,1600000US0683668
Zayante CDP,729,2.8,258,,1600000US0687090
Shasta County,"182,155","3,775.5",48,,0500000US06089
Anderson city,"11,323",7.0,"1,610",,1600000US0602042
Bella Vista CDP,"3,641",26.4,138,,1600000US0604926
Big Bend CDP,79,5.7,14,,1600000US0606475
Burney CDP,"3,000",5.4,558,,1600000US0609122
Cassel CDP,207,2.0,102,,1600000US0611782
Castella CDP,214,1.1,191,,1600000US0611824
Centerville CDP,"2,095",8.1,260,,1600000US0612415
Cottonwood CDP,"6,268",13.2,474,,1600000US0616630
Fall River Mills CDP,616,2.6,233,,1600000US0623532
French Gulch CDP,373,12.3,30,,1600000US0626056
Happy Valley CDP,"4,949",16.9,293,,1600000US0632036
Hat Creek CDP,266,50.0,5,,1600000US0632408
Igo CDP,103,1.0,101,,1600000US0636252
Johnson Park CDP,686,0.9,760,,1600000US0637442
Jones Valley CDP,"1,160",6.4,180,,1600000US0637533
Keswick CDP,188,3.4,56,,1600000US0638352
Lakehead CDP,469,4.7,100,,1600000US0639514
McArthur CDP,334,1.0,334,,1600000US0644700
Millville CDP,724,8.0,90,,1600000US0647724
Montgomery Creek CDP,176,3.3,54,,1600000US0648998
Mountain Gate CDP,815,2.0,413,,1600000US0649558
Oak Run CDP,158,3.0,52,,1600000US0653140
Old Station CDP,64,2.2,29,,1600000US0653602
Ono CDP,93,1.9,49,,1600000US0653882
Palo Cedro CDP,"2,931",8.2,358,,1600000US0655296
Platina CDP,13,2.1,6,,1600000US0657666
Redding city,"93,611",59.6,"1,569",,1600000US0659920
Round Mountain CDP,160,1.7,95,,1600000US0663134
Shasta CDP,"1,043",10.9,95,,1600000US0671218
Shasta Lake city,"10,371",10.9,949,,1600000US0671225
Shingletown CDP,"2,442",24.5,99,,1600000US0671568
Whitmore CDP,311,6.5,48,,1600000US0685250
Sierra County,"3,236",953.2,3,,0500000US06091
Alleghany CDP,30,0.3,86,,1600000US0600982
Calpine CDP,223,0.7,314,,1600000US0610004
Downieville CDP,290,3.2,91,,1600000US0619794
Goodyears Bar CDP,69,2.0,34,,1600000US0630420
Loyalton city,740,0.4,"2,082",,1600000US0644364
Pike CDP,159,4.3,37,,1600000US0657036
Sattley CDP,44,2.0,21,,1600000US0670336
Sierra Brooks CDP,467,1.4,341,,1600000US0671774
Sierra City CDP,235,2.2,109,,1600000US0671778
Sierraville CDP,239,5.0,48,,1600000US0671848
Verdi CDP,179,4.2,43,,1600000US0682334
Siskiyou County,"44,076","6,278.8",7,,0500000US06093
Carrick CDP,143,0.1,"2,432",,1600000US0611481
Dorris city,860,0.7,"1,224",,1600000US0619584
Dunsmuir city,"1,707",1.6,"1,064",,1600000US0620242
Edgewood CDP,72,1.0,70,,1600000US0621530
Etna city,678,0.8,892,,1600000US0622972
Fort Jones city,695,0.6,"1,154",,1600000US0625128
Gazelle CDP,95,0.7,141,,1600000US0629252
Greenview CDP,208,1.3,161,,1600000US0631134
Grenada CDP,314,0.5,609,,1600000US0631246
Happy Camp CDP,905,12.1,75,,1600000US0632030
Hornbrook CDP,266,1.2,228,,1600000US0634694
Lake Shastina CDP,"2,401",4.0,598,,1600000US0639728
McCloud CDP,945,2.4,390,,1600000US0644784
Macdoel CDP,86,0.2,515,,1600000US0644812
Montague city,"1,226",1.8,690,,1600000US0648690
Mount Hebron CDP,103,0.7,139,,1600000US0649768
Mount Shasta city,"3,223",3.8,856,,1600000US0649852
Tennant CDP,63,0.3,186,,1600000US0678176
Tulelake city,902,0.4,"2,201",,1600000US0680686
Weed city,"2,862",4.8,594,,1600000US0683850
Yreka city,"7,807",10.0,782,,1600000US0686944
Solano County,"453,491",821.8,552,,0500000US06095
Allendale CDP,"1,651",6.1,269,,1600000US0600996
Benicia city,"27,131",12.8,"2,117",,1600000US0605290
Dixon city,"18,988",7.1,"2,674",,1600000US0619402
Elmira CDP,193,0.5,364,,1600000US0622146
Fairfield city,"119,881",41.6,"2,882",,1600000US0623182
Green Valley CDP,"1,654",8.4,198,,1600000US0631099
Hartley CDP,"2,430",6.5,375,,1600000US0632340
Rio Vista city,"10,005",6.6,"1,516",,1600000US0660984
Suisun City city,"29,518",4.0,"7,370",,1600000US0675630
Vacaville city,"102,386",29.9,"3,428",,1600000US0681554
Vallejo city,"126,090",30.4,"4,145",,1600000US0681666
Sonoma County,"488,863","1,575.6",310,,0500000US06097
Bloomfield CDP,338,8.1,42,,1600000US0607036
Bodega CDP,211,2.9,73,,1600000US0607246
Bodega Bay CDP,912,8.3,109,,1600000US0607260
Boyes Hot Springs CDP,"6,215",1.1,"5,861",,1600000US0607848
Carmet CDP,55,0.3,192,,1600000US0611376
Cazadero CDP,298,7.1,42,,1600000US0612146
Cloverdale city,"8,996",3.1,"2,869",,1600000US0614190
Cotati city,"7,584",1.9,"4,046",,1600000US0616560
Eldridge CDP,"1,312",0.7,"2,012",,1600000US0621894
El Verano CDP,"3,867",1.1,"3,379",,1600000US0622510
Fetters Hot Springs-Agua Caliente CDP,"4,233",1.5,"2,897",,1600000US0623973
Forestville CDP,"3,264",5.3,621,,1600000US0624960
Fulton CDP,551,1.9,283,,1600000US0628014
Geyserville CDP,861,4.5,191,,1600000US0629420
Glen Ellen CDP,714,2.1,340,,1600000US0630028
Graton CDP,"1,683",1.6,"1,066",,1600000US0630812
Guerneville CDP,"4,552",9.7,469,,1600000US0631470
Healdsburg city,"11,340",4.4,"2,565",,1600000US0633056
Jenner CDP,122,2.1,58,,1600000US0637274
Kenwood CDP,852,5.2,165,,1600000US0638156
Larkfield-Wikiup CDP,"8,492",5.3,"1,600",,1600000US0640426
Monte Rio CDP,"1,080",1.9,567,,1600000US0648928
Occidental CDP,"1,132",5.0,228,,1600000US0653266
Penngrove CDP,"2,637",4.0,654,,1600000US0656476
Petaluma city,"59,776",14.4,"4,147",,1600000US0656784
Petaluma Center CDP,709,1.2,604,,1600000US0656786
Rohnert Park city,"44,390",7.3,"6,093",,1600000US0662546
Salmon Creek CDP,111,1.1,100,,1600000US0664252
Santa Rosa city,"178,127",42.5,"4,189",,1600000US0670098
Sea Ranch CDP,"1,169",16.1,73,,1600000US0670712
Sebastopol city,"7,521",1.9,"3,996",,1600000US0670770
Sereno del Mar CDP,107,0.7,145,,1600000US0671000
Sonoma city,"10,739",2.7,"3,914",,1600000US0672646
Sonoma State University CDP,"2,679",0.4,"6,419",,1600000US0672654
Temelec CDP,"1,500",1.6,945,,1600000US0678126
Timber Cove CDP,171,5.7,30,,1600000US0678715
Valley Ford CDP,148,2.6,56,,1600000US0681778
Windsor town,"26,344",7.4,"3,543",,1600000US0685922
Stanislaus County,"552,878","1,496.0",370,,0500000US06099
Airport CDP,"1,389",0.2,"7,964",,1600000US0600535
Bret Harte CDP,"5,135",0.6,"9,333",,1600000US0608172
Bystrom CDP,"3,957",0.5,"7,275",,1600000US0609353
Ceres city,"49,302",9.5,"5,190",,1600000US0612524
Cowan CDP,342,0.1,"2,426",,1600000US0616762
Crows Landing CDP,322,1.7,195,,1600000US0617428
Del Rio CDP,"1,399",2.0,700,,1600000US0618695
Denair CDP,"4,865",1.6,"2,963",,1600000US0618856
Diablo Grande CDP,"1,669",4.3,388,,1600000US0619155
East Oakdale CDP,"3,201",5.4,594,,1600000US0620907
Empire CDP,"4,202",1.2,"3,596",,1600000US0622622
Grayson CDP,"1,041",0.2,"5,649",,1600000US0630882
Hickman CDP,604,0.4,"1,723",,1600000US0633504
Hughson city,"7,481",1.9,"3,924",,1600000US0634904
Keyes CDP,"5,672",1.6,"3,618",,1600000US0638422
Knights Ferry CDP,112,0.2,700,,1600000US0638786
La Grange CDP,166,0.1,"1,778",,1600000US0639164
Modesto city,"218,464",43.0,"5,075",,1600000US0648354
Monterey Park Tract CDP,164,0.0,"3,471",,1600000US0648916
Newman city,"12,351",2.1,"5,987",,1600000US0651140
Oakdale city,"23,181",6.2,"3,724",,1600000US0652694
Orange Blossom CDP,"1,068",3.8,280,,1600000US0653987
Parklawn CDP,"1,249",0.1,"9,370",,1600000US0655728
Patterson city,"23,781",7.8,"3,054",,1600000US0656112
Riverbank city,"24,865",4.7,"5,277",,1600000US0661068
Riverdale Park CDP,"1,053",1.5,724,,1600000US0661106
Rouse CDP,"1,913",0.2,"8,026",,1600000US0663168
Salida CDP,"13,886",2.2,"6,264",,1600000US0664210
Turlock city,"72,740",16.9,"4,303",,1600000US0680812
Valley Home CDP,284,1.1,247,,1600000US0681792
Waterford city,"9,120",2.4,"3,867",,1600000US0683612
Westley CDP,575,0.3,"1,692",,1600000US0684480
West Modesto CDP,"5,965",1.4,"4,320",,1600000US0684578
Sutter County,"99,633",602.7,165,,0500000US06101
East Nicolaus CDP,223,4.6,49,,1600000US0620900
Live Oak city,"9,106",3.1,"2,918",,1600000US0641936
Meridian CDP,304,5.3,57,,1600000US0646926
Nicolaus CDP,176,3.1,56,,1600000US0651336
Rio Oso CDP,372,6.5,57,,1600000US0660970
Robbins CDP,347,2.6,134,,1600000US0662168
Sutter CDP,"2,997",3.0,991,,1600000US0677378
Trowbridge CDP,229,6.8,34,,1600000US0680560
Yuba City city,"70,117",15.0,"4,681",,1600000US0686972
Tehama County,"65,829","2,949.1",22,,0500000US06103
Bend CDP,603,2.9,207,,1600000US0605276
Corning city,"8,244",3.5,"2,324",,1600000US0616322
Dales CDP,28,0.6,43,,1600000US0617876
Flournoy CDP,117,5.9,20,,1600000US0624568
Gerber CDP,"1,044",0.9,"1,126",,1600000US0629392
Lake California CDP,"3,377",6.3,535,,1600000US0639460
Las Flores CDP,190,0.4,531,,1600000US0640536
Los Molinos CDP,"2,098",2.2,964,,1600000US0644140
Manton CDP,310,17.7,18,,1600000US0645512
Mineral CDP,136,44.3,3,,1600000US0647794
Paskenta CDP,110,1.1,102,,1600000US0656042
Paynes Creek CDP,54,3.4,16,,1600000US0656196
Proberta CDP,237,1.4,166,,1600000US0658814
Rancho Tehama Reserve CDP,"1,572",11.7,135,,1600000US0659604
Red Bluff city,"14,710",7.6,"1,946",,1600000US0659892
Richfield CDP,309,0.5,565,,1600000US0660592
Tehama city,435,0.8,548,,1600000US0678106
Vina CDP,198,1.4,146,,1600000US0682786
Trinity County,"16,112","3,179.3",5,,0500000US06105
Burnt Ranch CDP,250,13.4,19,,1600000US0609150
Coffee Creek CDP,152,11.5,13,,1600000US0614406
Douglas City CDP,868,30.4,29,,1600000US0619724
Hayfork CDP,"2,324",72.1,32,,1600000US0632562
Hyampom CDP,241,20.3,12,,1600000US0636098
Junction City CDP,658,26.5,25,,1600000US0637596
Lewiston CDP,"1,222",20.0,61,,1600000US0641278
Mad River CDP,361,35.2,10,,1600000US0645092
Post Mountain CDP,"3,032",12.4,244,,1600000US0658456
Ruth CDP,254,38.9,7,,1600000US0663386
Salyer CDP,389,5.3,74,,1600000US0664378
Trinity Center CDP,198,5.2,38,,1600000US0680476
Trinity Village CDP,278,4.0,69,,1600000US0680483
Weaverville CDP,"3,667",12.9,285,,1600000US0683794
Tulare County,"473,117","4,823.9",98,,0500000US06107
Allensworth CDP,531,3.1,171,,1600000US0601010
Alpaugh CDP,871,0.4,"2,083",,1600000US0601164
California Hot Springs CDP,50,0.9,55,,1600000US0609822
Camp Nelson CDP,106,1.2,86,,1600000US0610494
Cedar Slope CDP,10,0.3,35,,1600000US0612314
Cutler CDP,"4,480",1.2,"3,661",,1600000US0617708
Delft Colony CDP,412,0.1,"3,098",,1600000US0618450
Dinuba city,"24,563",6.5,"3,773",,1600000US0619318
Ducor CDP,616,0.6,"1,106",,1600000US0620032
Earlimart CDP,"7,679",2.9,"2,645",,1600000US0620438
East Orosi CDP,423,0.2,"1,706",,1600000US0620942
East Porterville CDP,"5,549",2.1,"2,615",,1600000US0621012
East Tulare Villa CDP,773,0.3,"2,737",,1600000US0621210
El Monte Mobile Village CDP,156,0.0,"21,763",,1600000US0622235
El Rancho CDP,96,0.0,"4,448",,1600000US0622360
Exeter city,"10,321",2.5,"4,194",,1600000US0623126
Farmersville city,"10,397",2.2,"4,723",,1600000US0623616
Goshen CDP,"4,968",2.8,"1,764",,1600000US0630476
Hartland CDP,69,0.2,298,,1600000US0632324
Hypericum CDP,125,0.0,"4,009",,1600000US0636135
Idlewild CDP,32,0.5,70,,1600000US0636168
Ivanhoe CDP,"4,468",1.3,"3,411",,1600000US0636910
Jovista CDP,41,0.1,408,,1600000US0637568
Kennedy Meadows CDP,58,5.8,10,,1600000US0638076
Lemon Cove CDP,298,1.3,223,,1600000US0641110
Lindcove CDP,189,0.1,"1,659",,1600000US0641656
Lindsay city,"12,659",2.7,"4,647",,1600000US0641712
Linnell Camp CDP,696,0.1,"5,942",,1600000US0641740
London CDP,"1,518",0.8,"1,859",,1600000US0642566
McClenney Tract CDP,15,0.6,24,,1600000US0644770
Matheny CDP,"1,125",0.4,"2,627",,1600000US0646223
Monson CDP,152,0.2,751,,1600000US0648676
Orosi CDP,"8,329",2.6,"3,233",,1600000US0654372
Panorama Heights CDP,44,0.5,93,,1600000US0655506
Patterson Tract CDP,"1,888",1.4,"1,306",,1600000US0656120
Pierpoint CDP,59,0.4,145,,1600000US0657011
Pine Flat CDP,206,1.0,206,,1600000US0657134
Pixley CDP,"3,828",5.3,729,,1600000US0657512
Plainview CDP,846,0.2,"3,703",,1600000US0657568
Ponderosa CDP,51,0.8,63,,1600000US0658134
Poplar-Cotton Center CDP,"2,370",2.4,998,,1600000US0658191
Porterville city,"62,623",18.6,"3,358",,1600000US0658240
Posey CDP,23,0.4,64,,1600000US0658422
Poso Park CDP,9,0.0,207,,1600000US0658436
Richgrove CDP,"2,358",0.5,"5,217",,1600000US0660606
Rodriguez Camp CDP,133,0.3,505,,1600000US0662496
Sequoia Crest CDP,24,1.0,23,,1600000US0670966
Seville CDP,446,0.3,"1,622",,1600000US0671078
Silver City CDP,0,0.1,0,,1600000US0671932
Springville CDP,967,1.5,637,,1600000US0673710
Strathmore CDP,"2,830",1.4,"2,005",,1600000US0675280
Sugarloaf Saw Mill CDP,14,0.1,144,,1600000US0675592
Sugarloaf Village CDP,7,0.1,104,,1600000US0675596
Sultana CDP,779,0.4,"2,074",,1600000US0675672
Terra Bella CDP,"2,910",2.2,"1,330",,1600000US0678288
Teviston CDP,"1,185",2.2,542,,1600000US0678336
Three Rivers CDP,"2,053",31.0,66,,1600000US0678638
Tipton CDP,"2,519",1.7,"1,459",,1600000US0678750
Tonyville CDP,329,0.1,"6,515",,1600000US0678932
Tooleville CDP,286,0.1,"4,283",,1600000US0678949
Traver CDP,731,0.7,"1,091",,1600000US0680280
Tulare city,"68,875",20.4,"3,379",,1600000US0680644
Visalia city,"141,384",37.9,"3,727",,1600000US0682954
Waukena CDP,80,0.4,228,,1600000US0683724
West Goshen CDP,536,0.7,800,,1600000US0684345
Wilsonia CDP,14,0.3,51,,1600000US0685866
Woodlake city,"7,419",2.6,"2,838",,1600000US0686300
Woodville CDP,"1,680",1.0,"1,684",,1600000US0686482
Woodville Farm Labor Camp CDP,729,0.2,"3,839",,1600000US0686489
Yettem CDP,201,0.1,"1,827",,1600000US0686734
Tuolumne County,"55,620","2,220.9",25,,0500000US06109
Cedar Ridge CDP,"1,235",7.8,158,,1600000US0612300
Chinese Camp CDP,90,0.9,100,,1600000US0613182
Cold Springs CDP,123,1.7,71,,1600000US0614454
Columbia CDP,"2,577",6.0,432,,1600000US0614904
East Sonora CDP,"2,431",2.4,994,,1600000US0621188
Groveland CDP,540,9.6,56,,1600000US0631372
Jamestown CDP,"3,478",3.0,"1,158",,1600000US0637106
Long Barn CDP,162,2.9,56,,1600000US0642622
Mi-Wuk Village CDP,935,2.8,330,,1600000US0648298
Mono Vista CDP,"3,236",2.8,"1,145",,1600000US0648641
Phoenix Lake CDP,"4,264",11.1,385,,1600000US0656870
Pine Mountain Lake CDP,"2,636",19.0,139,,1600000US0657244
Sierra Village CDP,411,2.6,160,,1600000US0671834
Sonora city,"5,003",3.2,"1,582",,1600000US0672674
Soulsbyville CDP,"2,092",3.0,695,,1600000US0672772
Strawberry CDP,87,0.5,167,,1600000US0675322
Tuolumne City CDP,"1,798",2.4,763,,1600000US0680763
Tuttletown CDP,787,7.4,107,,1600000US0680896
Twain Harte CDP,"2,378",3.7,643,,1600000US0680966
Ventura County,"843,843","1,840.8",458,,0500000US06111
Bell Canyon CDP,"1,946",3.6,535,,1600000US0604938
Camarillo city,"70,741",19.7,"3,593",,1600000US0610046
Casa Conejo CDP,"3,267",0.5,"6,927",,1600000US0611656
Channel Islands Beach CDP,"2,870",0.4,"6,791",,1600000US0612669
El Rio CDP,"7,037",2.0,"3,463",,1600000US0622370
Fillmore city,"16,419",3.3,"4,971",,1600000US0624092
Lake Sherwood CDP,"1,759",3.1,561,,1600000US0639735
Meiners Oaks CDP,"3,911",2.4,"1,604",,1600000US0646702
Mira Monte CDP,"6,618",4.8,"1,374",,1600000US0648046
Moorpark city,"36,284",12.3,"2,956",,1600000US0649138
Oak Park CDP,"13,898",5.3,"2,625",,1600000US0653116
Oak View CDP,"6,215",3.4,"1,824",,1600000US0653182
Ojai city,"7,637",4.4,"1,753",,1600000US0653476
Oxnard city,"202,063",26.5,"7,617",,1600000US0654652
Piru CDP,"2,587",3.2,814,,1600000US0657372
Port Hueneme city,"21,954",4.4,"4,973",,1600000US0658296
San Buenaventura (Ventura) city,"110,763",21.9,"5,061",,1600000US0665042
Santa Paula city,"30,657",5.5,"5,544",,1600000US0670042
Santa Rosa Valley CDP,"3,312",7.2,459,,1600000US0670130
Santa Susana CDP,"1,160",1.3,924,,1600000US0670140
Saticoy CDP,"1,133",0.4,"3,031",,1600000US0670322
Simi Valley city,"126,356",41.5,"3,041",,1600000US0672016
Somis CDP,"1,429",3.4,426,,1600000US0672632
Thousand Oaks city,"126,966",55.3,"2,298",,1600000US0678582
Yolo County,"216,403","1,014.7",213,,0500000US06113
Brooks CDP,31,4.3,7,,1600000US0608506
Clarksburg CDP,402,2.0,198,,1600000US0613784
Davis city,"66,850",10.0,"6,704",,1600000US0618100
Dunnigan CDP,"1,382",5.2,264,,1600000US0620228
El Macero CDP,"1,074",0.6,"1,829",,1600000US0622104
Esparto CDP,"3,572",4.6,776,,1600000US0622846
Guinda CDP,245,2.9,84,,1600000US0631540
Knights Landing CDP,"1,117",0.5,"2,067",,1600000US0638800
Madison CDP,581,1.5,376,,1600000US0645064
Monument Hills CDP,"1,702",4.0,427,,1600000US0649045
Rumsey CDP,91,2.4,37,,1600000US0663302
Tancred CDP,89,1.6,55,,1600000US0677860
University of California-Davis CDP,"8,525",1.7,"4,936",,1600000US0681302
West Sacramento city,"53,915",21.5,"2,511",,1600000US0684816
Winters city,"7,115",2.9,"2,424",,1600000US0686034
Woodland city,"61,032",15.3,"3,985",,1600000US0686328
Yolo CDP,425,1.4,309,,1600000US0686804
Yuba County,"81,575",632.0,129,,0500000US06115
Beale AFB CDP,"1,303",10.1,129,,1600000US0604576
Camptonville CDP,158,0.9,184,,1600000US0610676
Challenge-Brownsville CDP,"1,161",9.7,120,,1600000US0612612
Dobbins CDP,551,7.7,71,,1600000US0619416
Linda CDP,"21,654",8.6,"2,522",,1600000US0641572
Loma Rica CDP,"2,409",18.5,130,,1600000US0642412
Marysville city,"12,844",3.5,"3,708",,1600000US0646170
Olivehurst CDP,"16,595",8.4,"1,972",,1600000US0653714
Plumas Lake CDP,"8,126",11.8,686,,1600000US0657829
Smartsville CDP,185,0.7,258,,1600000US0672282
Wheatland city,"3,712",8.1,457,,1600000US0685012
