,,,,,
Incorporated Cities and Census Designated Places (CDP) by County in California,,,,,
Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),,Geoid
Orangevale CDP,"35,569",11.5,"3,106",,1600000US0654092
Parkway CDP,"15,962",2.4,"6,625",,1600000US0655800
Rancho Cordova city,"79,332",34.6,"2,295",,1600000US0659444
Rancho Murieta CDP,"5,903",11.9,497,,1600000US0659506
Rio Linda CDP,"15,944",9.9,"1,606",,1600000US0660942
Rosemont CDP,"23,510",4.4,"5,360",,1600000US0662910
Sacramento city,"524,943",98.6,"5,323",,1600000US0664000
Vineyard CDP,"43,935",18.7,"2,343",,1600000US0682852
Walnut Grove CDP,"1,452",10.2,142,,1600000US0683374
Wilton CDP,"5,958",29.0,205,,1600000US0685880
San Benito County,"64,209","1,388.7",46,,0500000US06069
Aromas CDP,"1,343",2.7,504,,1550000US0602812069
Hollister city,"41,678",8.0,"5,234",,1600000US0634120
Ridgemark CDP,"3,212",2.6,"1,250",,1600000US0660706
San Juan Bautista city,"2,089",0.8,"2,662",,1600000US0668014
Tres Pinos CDP,443,3.6,123,,1600000US0680364
San Bernardino County,"2,181,654","20,068.0",109,,0500000US06071
Adelanto city,"38,046",52.9,720,,1600000US0600296
Apple Valley town,"75,791",77.0,984,,1600000US0602364
Baker CDP,442,2.7,164,,1600000US0603512
Barstow city,"25,415",41.3,615,,1600000US0604030
Big Bear City CDP,"12,738",32.0,398,,1600000US0606406
Big Bear Lake city,"5,046",6.2,809,,1600000US0606434
Big River CDP,"1,084",10.8,100,,1600000US0606635
Bloomington CDP,"24,339",6.1,"4,008",,1600000US0607064
Bluewater CDP,116,1.0,111,,1600000US0607172
Chino city,"91,403",29.6,"3,087",,1600000US0613210
Chino Hills city,"78,411",44.6,"1,756",,1600000US0613214
Colton city,"53,909",15.5,"3,467",,1600000US0614890
Crestline CDP,"11,650",13.9,838,,1600000US0617162
Fontana city,"208,393",43.1,"4,838",,1600000US0624680
Fort Irwin CDP,"8,096",7.0,"1,162",,1600000US0625114
Grand Terrace city,"13,150",3.5,"3,754",,1600000US0630658
Hesperia city,"99,818",72.7,"1,373",,1600000US0633434
Highland city,"56,999",18.6,"3,069",,1600000US0633588
Homestead Valley CDP,"2,789",33.9,82,,1600000US0634392
Joshua Tree CDP,"6,489",36.1,180,,1600000US0637554
Lake Arrowhead CDP,"12,401",17.7,701,,1600000US0639444
Lenwood CDP,"3,623",2.1,"1,741",,1600000US0641194
Loma Linda city,"24,791",7.6,"3,245",,1600000US0642370
Lucerne Valley CDP,"5,331",105.6,50,,1600000US0644420
Lytle Creek CDP,725,6.0,120,,1600000US0644644
Mentone CDP,"9,557",6.1,"1,564",,1600000US0646884
Montclair city,"37,865",5.5,"6,846",,1600000US0648788
Morongo Valley CDP,"3,514",25.2,139,,1600000US0649348
Mountain View Acres CDP,"3,337",1.6,"2,101",,1600000US0649684
Muscoy CDP,"10,719",3.0,"3,525",,1600000US0650132
Needles city,"4,931",30.6,161,,1600000US0650734
Oak Glen CDP,602,15.0,40,,1600000US0652715
Oak Hills CDP,"9,450",24.5,385,,1600000US0652760
Ontario city,"175,265",50.0,"3,507",,1600000US0653896
Phelan CDP,"13,859",60.1,231,,1600000US0656826
Piñon Hills CDP,"7,258",32.1,226,,1600000US0657302
Rancho Cucamonga city,"174,453",40.1,"4,349",,1600000US0659451
Redlands city,"73,168",36.0,"2,033",,1600000US0659962
Rialto city,"104,026",24.1,"4,318",,1600000US0660466
Running Springs CDP,"5,268",4.2,"1,253",,1600000US0663316
San Antonio Heights CDP,"3,441",2.4,"1,407",,1600000US0664462
San Bernardino city,"222,101",62.1,"3,575",,1600000US0665000
Searles Valley CDP,"1,565",10.5,149,,1600000US0670728
Silver Lakes CDP,"6,317",5.2,"1,207",,1600000US0671964
Spring Valley Lake CDP,"9,598",3.0,"3,174",,1600000US0673700
Twentynine Palms city,"28,065",58.7,478,,1600000US0680994
Upland city,"79,040",15.6,"5,072",,1600000US0681344
Victorville city,"134,810",73.7,"1,829",,1600000US0682590
Wrightwood CDP,"4,720",6.0,793,,1600000US0686594
Yermo CDP,623,0.6,960,,1600000US0686720
Yucaipa city,"54,542",28.3,"1,929",,1600000US0687042
Yucca Valley town,"21,738",39.8,546,,1600000US0687056
San Diego County,"3,298,634","4,210.2",783,,0500000US06073
Alpine CDP,"14,696",26.8,549,,1600000US0601192
Bonita CDP,"12,917",5.0,"2,575",,1600000US0607414
Bonsall CDP,"4,546",13.6,334,,1600000US0607498
Borrego Springs CDP,"3,073",43.4,71,,1600000US0607596
Bostonia CDP,"16,882",1.9,"8,764",,1600000US0607624
Boulevard CDP,359,3.9,92,,1600000US0607694
Campo CDP,"2,955",23.5,126,,1600000US0610508
Camp Pendleton Mainside CDP,"9,683",10.7,901,,1600000US0610554
Camp Pendleton South CDP,"12,468",6.9,"1,795",,1600000US0610561
Carlsbad city,"114,746",37.8,"3,038",,1600000US0611194
Casa de Oro-Mount Helix CDP,"19,576",6.9,"2,857",,1600000US0611691
Chula Vista city,"275,487",49.6,"5,550",,1600000US0613392
Coronado city,"20,192",7.8,"2,587",,1600000US0616378
Crest CDP,"2,828",6.5,433,,1600000US0617106
Del Dios CDP,396,0.4,966,,1600000US0618422
Del Mar city,"3,954",1.7,"2,303",,1600000US0618506
Descanso CDP,"1,499",19.2,78,,1600000US0618940
