Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),Unnamed: 4,Geoid,geographic type
Thermalito CDP,7198,12.7280188170756,565.5239910820479,,1600000US0678470,Suburban
Yankee Hill CDP,260,6.026741436639861,43.1410576898683,,1600000US0686678,Rural
Calaveras County,45292,1020.019150281777,44.4030879101517,,0500000US06009,Suburban
Angels city,3667,3.632376289002111,1009.531972527934,,1600000US0602112,Rural
Arnold CDP,3288,9.066599922470683,362.6497284666783,,1600000US0602770,Rural
Avery CDP,636,2.103910133946567,302.2942804153785,,1600000US0603316,Rural
Copperopolis CDP,3400,15.58978226926148,218.091564158905,,1600000US0616210,Rural
Dorrington CDP,519,4.092892708383205,126.8051808289443,,1600000US0619570,Rural
Forest Meadows CDP,1276,3.764372653464032,338.9675033436995,,1600000US0624897,Rural
Mokelumne Hill CDP,691,3.078815809185216,224.4369403127326,,1600000US0648480,Rural
Mountain Ranch CDP,223,3.910357885828042,57.02802825495814,,1600000US0649628,Rural
Murphys CDP,1995,4.229957822198404,471.6359084079835,,1600000US0650034,Rural
Rail Road Flat CDP,316,9.0773648372116,34.81186508055672,,1600000US0659220,Rural
Rancho Calaveras CDP,5590,8.381264700840314,666.9637816640657,,1600000US0659426,Suburban
San Andreas CDP,2994,8.390172464119525,356.8460616040738,,1600000US0664420,Rural
Vallecito CDP,442,2.087272219021864,211.7596334449992,,1600000US0681652,Rural
Valley Springs CDP,3779,3.993870627972021,946.1999028042812,,1600000US0681890,Rural
Wallace CDP,479,4.291437257624359,111.6176169531518,,1600000US0683304,Rural
West Point CDP,688,2.964398676750626,232.0875411920435,,1600000US0684732,Rural
Colusa County,21839,1150.712948090879,18.97866886457876,,0500000US06011,Suburban
Arbuckle CDP,3484,1.760601979623072,1978.868614441688,,1600000US0602420,Rural
College City CDP,292,2.934288112531795,99.51306374889454,,1600000US0614554,Rural
Colusa city,6411,3.423977640050842,1872.383722664966,,1600000US0614946,Suburban
Grimes CDP,296,2.261042136102561,130.9130844019678,,1600000US0631288,Rural
Lodoga CDP,184,3.387063955508674,54.32433589001026,,1600000US0642230,Rural
Maxwell CDP,1067,2.150331198445707,496.2026318416644,,1600000US0646338,Rural
Princeton CDP,309,1.460205221028051,211.6140906429919,,1600000US0658758,Rural
Stonyford CDP,133,1.403913454425271,94.73518440953116,,1600000US0675154,Rural
Williams city,5538,4.944511325921201,1120.029793635517,,1600000US0685586,Suburban
Contra Costa County,1165927,716.9293865454202,1626.278712912173,,0500000US06013,Urban
Acalanes Ridge CDP,1285,0.460839586901561,2788.388924310199,,1600000US0600135,Rural
Alamo CDP,15314,9.81564972501803,1560.161622410774,,1600000US0600618,Suburban
Alhambra Valley CDP,805,1.614493194563064,498.6084814175139,,1600000US0600898,Rural
Antioch city,115291,29.17112318667114,3952.230404781903,,1600000US0602252,Urban
Bay Point CDP,23896,6.42614753427429,3718.557638546124,,1600000US0604415,Suburban
Bayview CDP,1782,0.3047222612614421,5847.948202481669,,1600000US0604470,Rural
Bethel Island CDP,2131,5.250865254974154,405.8378755732305,,1600000US0606210,Rural
Blackhawk CDP,9637,5.775412472953542,1668.625409030161,,1600000US0606928,Suburban
Brentwood city,64292,14.86542254249827,4324.935925379701,,1600000US0608142,Urban
Byron CDP,1140,6.520959556569374,174.8208971563911,,1600000US0609346,Rural
Camino Tassajara CDP,4951,1.276086993453251,3879.829529961725,,1600000US0610301,Rural
Castle Hill CDP,1271,0.5845158355946051,2174.449215233085,,1600000US0611915,Rural
Clayton city,11070,3.839893852790051,2882.892190354841,,1600000US0613882,Suburban
Clyde CDP,729,0.1407276790471616,5180.217601369612,,1600000US0614232,Rural
Concord city,125410,30.55250835139005,4104.736624490415,,1600000US0616000,Urban
Contra Costa Centre CDP,6808,0.6367006333620079,10692.6232569478,,1600000US0616090,Suburban
Crockett CDP,3242,1.062254728593337,3051.998652237711,,1600000US0617274,Rural
Danville town,43582,18.07778877739974,2410.803695996537,,1600000US0617988,Suburban
Diablo CDP,1255,1.363686627119508,920.2994112004421,,1600000US0619150,Rural
Discovery Bay CDP,15358,5.591610849162236,2746.614600746226,,1600000US0619339,Suburban
East Richmond Heights CDP,3460,0.5798660071011912,5966.895726991982,,1600000US0621061,Rural
El Cerrito city,25962,3.671794232251269,7070.657656129616,,1600000US0621796,Suburban
El Sobrante CDP,15524,3.096163766009727,5013.946668592088,,1600000US0622454,Suburban
Hercules city,26016,6.412673726673637,4056.96611255707,,1600000US0633308,Suburban
Kensington CDP,5428,0.9637036928356425,5632.436650759762,,1600000US0638086,Suburban
Knightsen CDP,1596,8.357354937551834,190.9695127137349,,1600000US0638772,Rural
Lafayette city,25391,15.02432250651354,1689.993008935488,,1600000US0639122,Suburban
Martinez city,37287,12.63037782414436,2952.168218493178,,1600000US0646114,Suburban
Montalvin Manor CDP,3099,0.3214373966211426,9641.068626661974,,1600000US0648718,Rural
Moraga town,16870,9.46105310140433,1783.099599926771,,1600000US0649187,Suburban
Mountain View CDP,2622,0.2872306744278352,9128.551486442164,,1600000US0649651,Rural
Norris Canyon CDP,1313,3.610138348131342,363.6979731482111,,1600000US0651622,Rural
North Gate CDP,667,0.7353447197438753,907.0575773391286,,1600000US0651890,Rural
North Richmond CDP,4175,1.389560492172164,3004.547138119643,,1600000US0652162,Rural
Oakley city,43357,15.86558586371829,2732.770183996141,,1600000US0653070,Suburban
Orinda city,19514,12.85163946705545,1518.405496047659,,1600000US0654232,Suburban
Pacheco CDP,4183,0.7511918974141966,5568.483917889696,,1600000US0654764,Rural
Pinole city,19022,5.103642179037123,3727.142172727474,,1600000US0657288,Suburban
Pittsburg city,76416,17.67586413527785,4323.183263639564,,1600000US0657456,Urban
Pleasant Hill city,34613,7.075142819194529,4892.198063634357,,1600000US0657764,Suburban
Port Costa CDP,190,0.1582088411220438,1200.944262359094,,1600000US0658226,Rural
Reliez Valley CDP,3354,2.360211707544591,1421.058962328969,,1600000US0660279,Rural
Richmond city,116448,30.0541948456904,3874.600554028749,,1600000US0660620,Urban
Rodeo CDP,9653,3.761057966291736,2566.565069327421,,1600000US0662490,Suburban
Rollingwood CDP,3015,0.1728834264869181,17439.49701406538,,1600000US0662700,Rural
San Miguel CDP,3591,1.050278997431648,3419.091506905716,,1600000US0668263,Rural
San Pablo city,32127,2.624399418066802,12241.65794994176,,1600000US0668294,Suburban
San Ramon city,84605,18.68460278580441,4528.059866719696,,1600000US0668378,Urban
Saranap CDP,5830,1.134961243063674,5136.739281301539,,1600000US0670266,Suburban
Shell Ridge CDP,1014,0.4303301791359651,2356.330206809923,,1600000US0671362,Rural
Tara Hills CDP,5364,0.6668127419895382,8044.237403136122,,1600000US0677924,Suburban
Vine Hill CDP,4323,1.502038233381776,2878.089188360369,,1600000US0682842,Rural
Walnut Creek city,70127,19.7603467660854,3548.87496814371,,1600000US0683346,Urban
Del Norte County,27743,1006.227841596177,27.57129037096741,,0500000US06015,Suburban
Bertsch-Oceanview CDP,2520,5.3002164488793,475.4522809220064,,1600000US0606150,Rural
Crescent City city,6673,1.9633739615782,3398.741213128907,,1600000US0617022,Suburban
Fort Dick CDP,912,3.216796371257319,283.5118841058426,,1600000US0625086,Rural
Gasquet CDP,657,4.7562571718479,138.1338258765227,,1600000US0629154,Rural
Hiouchi CDP,314,0.5798470880946166,541.5220778840284,,1600000US0633935,Rural
Klamath CDP,1088,17.21730757053701,63.19222651640563,,1600000US0638702,Rural
Smith River CDP,906,4.425402743178733,204.7271293887316,,1600000US0672380,Rural
El Dorado County,191185,1707.849501619313,111.9448755986557,,0500000US06017,Urban
